Final State Abbreviation Standard,Final County,CNT
MA,Worcester County,7
MA,Worcester County,18
MA,Worcester County,365
MA,Middlesex County,31
MA,Worcester County,105
MA,Middlesex County,69
MA,Middlesex County,43
MA,Worcester County,23
MA,Middlesex County,51
MA,Worcester County,57
MA,Middlesex County,7
MA,Worcester County,114
MA,Worcester County,198
MA,Worcester County,23
MA,Worcester County,67
MA,Worcester County,17
MA,Worcester County,5
MA,Worcester County,80
MA,Worcester County,128
MA,Worcester County,20
MA,Worcester County,36
MA,Worcester County,30
MA,Worcester County,25
MA,Worcester County,78
MA,Hampden County,8
MA,Worcester County,10
MA,Worcester County,33
MA,Worcester County,66
MA,Worcester County,2
MA,Worcester County,107
MA,Worcester County,25
MA,Worcester County,73
MA,Worcester County,69
MA,Worcester County,16
MA,Worcester County,25
MA,Worcester County,129
MA,Worcester County,72
MA,Worcester County,4
MA,Worcester County,8
MA,Worcester County,59
MA,Worcester County,183
MA,Worcester County,203
MA,Worcester County,15
MA,Worcester County,2
MA,Worcester County,70
MA,Worcester County,30
MA,Worcester County,77
MA,Worcester County,22
MA,Worcester County,123
MA,Worcester County,186
MA,Worcester County,94
MA,Worcester County,82
MA,Worcester County,34
MA,Worcester County,22
MA,Worcester County,161
MA,Worcester County,36
MA,Worcester County,190
MA,Worcester County,247
MA,Worcester County,418
MA,Worcester County,431
MA,Worcester County,205
MA,Worcester County,135
MA,Worcester County,123
MA,Worcester County,232
MA,Worcester County,259
MA,Worcester County,10
MA,Worcester County,17
MA,Worcester County,9
MA,Middlesex County,170
MA,Middlesex County,408
MA,Middlesex County,8
MA,Middlesex County,40
MA,Middlesex County,95
MA,Middlesex County,56
MA,Middlesex County,3
MA,Worcester County,21
MA,Middlesex County,7
MA,Middlesex County,44
MA,Worcester County,1
MA,Middlesex County,39
MA,Worcester County,24
MA,Middlesex County,59
MA,Middlesex County,106
MA,Middlesex County,430
MA,Middlesex County,29
MA,Worcester County,22
MA,Worcester County,208
MA,Middlesex County,176
MA,Middlesex County,5
MA,Worcester County,43
MA,Middlesex County,2
MA,Middlesex County,32
MA,Middlesex County,45
MA,Middlesex County,21
SN,Sächsische Schweiz-Osterzgebirge County,1
MA,Middlesex County,357
MA,Middlesex County,100
MA,Essex County,155
MA,Middlesex County,179
MA,Middlesex County,158
MA,Middlesex County,246
MA,Middlesex County,8
MA,Essex County,288
MA,Essex County,336
MA,Essex County,15
MA,Essex County,32
MA,Essex County,237
MA,Essex County,93
